ç·¨è?,ç­”æ?,é¡žè?é¡Œç›®
0301,"ÃD¥Ø?1
???°Ñ¦Òµª®×¡GC

???¸Ô²Ó¸ÑÄÀ¡G
°¨¹aÁ¦ÄÝ©ó¦³¸­ªº´Óª«¡A¦]¦¹¤£¬O»r¤l´Óª«¡A¨S¦³²AªG¡C
A potato plant has leaves, so it is not a gymnosperm and does not bear cones.

¥¦¾¨ºÞ¥i¸g¥Ñ¶ô²ôÁc´Þ¡]µL©Ê¥Í´Þ¡^¡A¦ý¦b¥Íªø©u¥½´Á¤´¥i¶}ªáµ²ªG¡]¶i¦æ¦³©Ê¥Í´Þ¡^¡C
Although it reproduces asexually by tubers, it can also reproduce sexually by flowering and fruiting at the end of the growing period.

³o»¡©ú©Ò¦³¯à¶i¦æÀç¾iÁc´Þªº´Óª«¡A¤]¦P®É¨ã³Æ¦³©Ê¥Í´Þ¯à¤O¡C
This shows that all plants capable of vegetative propagation can also undergo sexual reproduction.

¦]¦¹ÀËÅç¦¸§Ç¬°?1a?¡÷?2b?¡÷?3a?¡A°¨¹aÁ¦À³¬°?C¡C
Hence, the correct sequence is?1a?¡÷?2b?¡÷?3a, so the potato corresponds to?C.

???¦Ò¸Õ´£¿ô¡G
§P©w´Óª«ºØÃþ®É¡Aª`·N¸­¡BªG¡Bªá¯»¤T¤j¯S¼x¡F­n°O¦í¡u°¨¹aÁ¦¡v«üªº¬O¶ô²ô¡]²ô³¡¡^¡A¦ý´Óª«¥»¨­¤´·|¶}ªáµ²ªG¡C
When identifying plant groups, focus on leaves, fruits, and pollen; note that ¡§potato¡¨ refers to the stem tuber, but the plant itself flowers and fruits.",
0302,"ÃD¥Ø?2
???°Ñ¦Òµª®×¡GD

???¸Ô²Ó¸ÑÄÀ¡G
±øÂÎ±H¥Í¦b¥Rº¡¤w®ø¤Æ­¹ª«ªº¤H¸z¤º¡A¥iª½±µ¸gÅé¾À§l¦¬­¹ª«¡A¦Ó¤£»Ý®ø¤Æ¹D¡C
A tapeworm lives in the host¡¦s intestine filled with digested food, so it absorbs nutrients through its body wall without a digestive canal.

¨S¦³®ø¤Æ¹D¯à¸`¬Ù¯à¶q¡A¦ý¨Ã«D¥Í¦s¥²»Ý±ø¥ó¡C
Lacking an alimentary canal saves energy, but is not essential for survival.

¨eªº¹_¤Î§l½L¥u¬O©T©w¦b±J¥D¸z¾À¤W¡A¤£°Ñ»P­¹ª«¤À¸Ñ¡C
Its hooks and suckers serve attachment, not digestion.

­¹ª«Áö¥i§l¦¬¡A¦ý±øÂÎ¤´»Ý±N§l¦¬ªº¦³¾÷ª«¶i¦æ©I§l¥NÁÂ¥H²£¥Í?ATP?¡AB?»P?C?§¡¿ù¡C
The tapeworm still metabolizes absorbed material to form ATP, thus?B?and?C?are incorrect.

¨ä±aª¬«ó¥­ªº¨­Åé«h¥i¼W¥[§l¦¬ªí­±¿n¡A¥H°ª®Ä²v§l¦¬Àç¾i¡A¦]¦¹?D?³Ì¥¿½T¡C
Its flat ribbon-like body enlarges surface area for absorption, making?D?the best choice.

???¦Ò¸Õ´£¿ô¡G
¨£¡u±H¥Í±øÂÎ¡vÃD¥Ø®É¡A¥²°O¤T­«ÂI¡G§l¦¬Àç¾i¤£®ø¤Æ¡B«ó¥­¨­Åé¡B¤jªí­±¿n¡C
When facing tapeworm questions, remember the triad: absorption without digestion, flat body, large surface area.",
0303,"ÃD¥Ø?3
???°Ñ¦Òµª®×¡GC

???¸Ô²Ó¸ÑÄÀ¡G
ªí¥Ö²Ó­M¦ì©ó¸­ªí¼h¡BµL¸­ºñÅé¡A³z©ú¥H§Q¥ú¶i¤J¡F¸­¦×²Ó­M¦ì©ó¤U¼h¡A§t¤j¶q¸­ºñÅé¶i¦æ¥ú¦X§@¥Î¡C
Epidermal cells are on the leaf surface, transparent for light penetration; mesophyll cells below contain many chloroplasts for photosynthesis.

¨âªÌ§¡¦³²Ó­M¾À»P²Ó­M®Ö¡A¦ý¥D­n°Ï§O¦b¥\¯à»Pµ²ºc¡G¤@­Ó«OÅ@©Ê¡A¤@­Ó¶i¦æ¥ú¦X§@¥Î¡C
Both have cell walls and nuclei, but differ in structure and function¡Xone is protective, the other photosynthetic.

¦]¦¹¿ï?C¡Gªí¥Ö²Ó­M¦ì©ó¸­¦×²Ó­M¤W¤è¡A«eªÌ¤¹³\¥ú½u¶i¤J«áªÌ¶i¦æ¥ú¦X§@¥Î¡C
So?C?is correct: epidermal cells cover mesophyll cells, allowing light to pass through for photosynthesis.

???¦Ò¸Õ´£¿ô¡G
¸­ªº¾î¤Á­±­nÃÑ§O³z©úªí¥Ö²Ó­M»P§t¸­ºñÅéªº¸­¦×²Ó­M¡C
When studying leaf cross-sections, distinguish transparent epidermis from chloroplast-rich mesophyll.",
0304,"ÃD¥Ø?4
???°Ñ¦Òµª®×¡GB

???¸Ô²Ó¸ÑÄÀ¡G
³J¥Õ½èªº¤Æ¾Ç¤À¸Ñ¥D­n¦b­G»P¤p¸z¶i¦æ¡C
Protein digestion mainly occurs in the stomach and small intestine.

­G²G§t­G³J¥Õ?¡]pepsin¡^¡A±N³J¥Õ½èªì¨B¤À¸Ñ¬°¦h?¡C
The stomach secretes pepsin, which breaks down proteins into peptides.

±µµÛ¡A¤p¸zªº¯Ø³J¥Õ?»P¸z²G?¶i¤@¨B±N¦h?¤À¸Ñ¦¨®ò°ò»Ä¡C
Then, trypsin and intestinal enzymes further hydrolyze peptides into amino acids.

¦]¦¹¥¿½T³¡¦ì¬°?2?¡]­G¡^»P?3?¡]¤p¸z¡^¡C
Therefore, the correct sites are?2?(stomach)?and?3?(small intestine).

???¦Ò¸Õ´£¿ô¡G
°O¾Ð¶¶§Ç¡G­G¡÷¯Ø²G¡÷¸z²G¤T¨B³J¥Õ½è®ø¤ÆÃì¡C
Remember the pathway: stomach ¡÷ pancreatic juice ¡÷ intestinal juice for protein digestion.",
0305,"ÃD¥Ø?5
???°Ñ¦Òµª®×¡GB

???¸Ô²Ó¸ÑÄÀ¡G
¤p¸z¡]°j¸z¡^¤ñ¤j¸zªø¡A¤º¾À¦³¤j¶qµ³¤ò»P½KÁ·¡A¤j¤jÂX¤j§l¦¬­±¿n¡C
The ileum is much longer and has numerous villi and folds, providing a very large surface area.

ÄqÆQ¥Ñ¤p¸z¤º²G³q¹LÂX´²¤Î¥D°Ê¹B¿é¶i¤J¦å²G¡A§l¦¬®Ä²v°ª©ó¤j¸z¡C
Mineral salts are absorbed into the bloodstream through diffusion and active transport, more efficiently than in the colon.

¦]¦¹¥¿½Tµª®×¬O?B?¡G¤j¦h¼ÆªºÄqª«½è©ó¤p¸z¤¤³Q§l¦¬¡C
Hence?B?is correct¡Xmost mineral salts are absorbed in the ileum.

???¦Ò¸Õ´£¿ô¡G
­YÃD¥Ø¦P®É¥X²{¡u¤p¸z»P¤j¸z¡v¡÷?§l¦¬¶q¦hªÌ¥Ã»·¬O¤p¸z¡C
When you see both small and large intestines listed, the small intestine always absorbs more.",
0306,"ÃD¥Ø?6
???°Ñ¦Òµª®×¡GA

???¸Ô²Ó¸ÑÄÀ¡G
¯×ªÕ¥i·»©ó°sºë¡A¥Î°sºë¬~º°«á¯×ªÕ·|³Q·»¸Ñ¥h°£¡C
Fat dissolves in alcohol, so washing removes it.

­Y³z©ú´³®ø¥¢¡A¥Nªí¦¹´³ÂI¬O¥Ñ¯×ªÕ³y¦¨¡C
If the translucent spot disappears, it shows the spot was due to fat.

¨ä¾l¤èªk¡]¦p¥[¼ö¡B¥ú·Óµ¥¡^¤£·|½T©w¯×ªÕ¦s¦b¡C
Other methods like heating or light exposure cannot confirm fat presence.

???¦Ò¸Õ´£¿ô¡G
¿ëÃÑ¯×ªÕªºÃöÁä¡G°sºë¥i·»ªk¡A¤£­n»P¡u¾ý¯»¸K²G¤ÏÀ³¡v©Î¡u³J¥Õ½èÂùÁY?¤ÏÀ³¡v²V²c¡C
For fat detection, remember solubility in alcohol¡Xdon¡¦t confuse with iodine test for starch or biuret test for protein.",
0307,"ÃD¥Ø?7
???°Ñ¦Òµª®×¡GD

???¸Ô²Ó¸ÑÄÀ¡G
¥ú¦X§@¥Î¹Lµ{¤¤¡A´Óª«§l¦¬¤G®ñ¤ÆºÒ¨ÃÄÀ©ñ®ñ®ð¡C
During photosynthesis, the plant absorbs carbon dioxide and releases oxygen.

¦b¹êÅç¤¤¡AºÒ»Ä²B¶u´£¨Ñ¤G®ñ¤ÆºÒ¡A¦Ó®e¾¹¤¤®ðÅéÅé¿nªº¤W¤É¤Ï¬M®ñ®ðªºÄÀ©ñ¡C
In this experiment, sodium hydrogencarbonate provides CO?, and the rise in gas volume in the syringe shows O? release.

°_©lÅª¼Æ?=?0.20?mL¡A30?¤ÀÄÁ«á?=?0.45?mL¡AÅé¿n¼W¶q?=?0.25?mL¡C
Starting reading?=?0.20?mL; after 30?minutes?=?0.45?mL; increase?=?0.25?mL.

0.25?mL?¡Ò?0.5?¤p®É?=?¨C¤p®É²£¥Í?0.50?mL?®ñ®ð¡C
0.25?mL?¡Ò?0.5?hour?=?0.50?mL?O? per hour.

¦]¦¹µª®×¬°?D¡C
Hence?D?is correct.

???¦Ò¸Õ´£¿ô¡G
­YÃD¥Ø¦P®É¥X²{¡uºÒ»Ä²B¶u + ºñ¦â´Óª« + Åé¿n¤W¤É¡v¡÷ ªí¥Ü¥ú¦X§@¥Î©ñ®ñ¡A«D©I§l§l®ñ¡C
When you see ¡§NaHCO? + green plant + gas volume increase,¡¨ it always indicates O? release from photosynthesis, not respiration.",
0308,"ÃD¥Ø?8
???°Ñ¦Òµª®×¡GA

???¸Ô²Ó¸ÑÄÀ¡G
´Óª«°£¤F¥ú¦X§@¥Î¥~¡A¤´¶i¦æ©I§l§@¥Î¡A»Ý®ø¯Ó®ñ®ð¡C
Plants also respire, consuming some oxygen at the same time as photosynthesis.

©Ò¥H¹êÅç¤¤´ú±oªº®ñ®ð²bÄÀ©ñ¶q§C©ó¹ê»Ú¥ú¦X§@¥Î³t²v¡C
Thus, the measured O? release is lower than the true photosynthetic rate.

­Y¥u¶i¦æ¥ú¦X§@¥Î¡A®ðÅéÅé¿n¤W¤É·|§ó§Ö¡F¥[¤J©I§l§@¥Î«á³t²v¤U­°¡C
If only photosynthesis occurred, gas volume would increase faster; respiration lowers the net rate.

¿ï¶µ?A?«ü¥X®ñ®ð³Q©I§l§@¥Î¦P®É®ø¯Ó¡A¦]¦¹¥¿½T¡C
Option?A?states that oxygen is also being used up by respiration¡Xcorrect.

???¦Ò¸Õ´£¿ô¡G
§PÂ_¥ú¦X§@¥Î³t²v®É­n¯d·N¡u¦P®É¶i¦æªº©I§l§@¥Î¡v³oÁôÂÃÅÜ¶µ¡C
Always remember that respiration occurs simultaneously, reducing apparent photosynthetic rate.",
0309,"ÃD¥Ø?9
???°Ñ¦Òµª®×¡GC

???¸Ô²Ó¸ÑÄÀ¡G
°V½m¹Lªº¹B°Ê­û¡]¦±½u?Y¡^¦b¹B°Ê¤¤²£¥Í¸û¤Ö¨Å»Ä¡A¦]¬°¥L¯àªø®É¶¡ºû«ù¦³®ñ©I§l¡C
A trained athlete (curve?Y) produces less lactic acid during exercise due to prolonged aerobic respiration.

¥¼°V½mªÌ¡]¦±½u?X¡^¦]®ñ®ð¨ÑÀ³¤£¨¬¸û¦­¶i¤JµL®ñ©I§l¡A¨Å»Ä¿n»E¸û¦h¡C
An untrained person (curve?X) experiences oxygen deficit earlier, leading to more lactic acid build-up.

¦]¦¹?X?ªº¨Å»Ä¿@«×°ª©ó?Y?¡C
Thus, X?>?Y?in lactic acid concentration.

???¦Ò¸Õ´£¿ô¡G
­n¤À¿ë­þ±ø¬O¹B°Ê­û ¡÷ ¨Å»Ä¤Ö¥Nªí¦³®ñ®Ä²v°ª¡BªÍ¬¡¶q¤j¡B¦å²G¨Ñ®ñ¦n¡C
For exercise graphs, the lower lactic acid curve always belongs to the trained athlete.
",
0310,"ÃD¥Ø?10
???°Ñ¦Òµª®×¡GC

???¸Ô²Ó¸ÑÄÀ¡G
¥¼¸g°V½mªÌ¬°º¡¨¬¼@¯P¹B°Ê®É¦Ù¦×¹ï®ñªº»Ý¨D¡A©I§l³t²v»Ý«æ¼@¤W¤É¡C
An untrained individual must increase breathing rate sharply to meet the high oxygen demand.

§Y¨Ï¹B°Êµ²§ô«á¡AÅé¤º¤´¦s¦b¨Å»Ä¡A»Ý®ñ®ð®ñ¤Æ¤À¸Ñ¡A¦]¦¹©I§l³t²v«O«ù¤@¬q®É¶¡ªº°ª­È¡C
Even after exercise, extra oxygen is needed to oxidize lactic acid, so the breathing rate remains elevated briefly.

¿ï¶µ?C?Åã¥Ü©I§l¤W¤É¨Ã½wºC¦^´_¡A³Ì²Å¦X¹ê»Ú±¡ªp¡C
Option?C?shows a rise during exercise followed by a gradual fall, matching reality.

???¦Ò¸Õ´£¿ô¡G
¹B°Ê«á©I§l³t²v¤£·|¥ß§Y¤U­°¡A¦Ò¥Í±`²V²c©ó?B?©Î?D¡F°O¦í­n¦³¡u¹B°Ê«á¼È®É°ª©I§l³t²v¡v¶¥¬q¡C
Post-exercise breathing doesn¡¦t drop instantly¡Xlook for a short plateau before recovery, typical of oxygen debt repayment.",
